2021-05-18 14:49:41.970270 | SCRIPT IS LOADING
2021-05-18 14:49:41.977276 | INIT PASSED
2021-05-18 14:49:43.017237 | SCRIPT IS LOADING
2021-05-18 14:49:43.023825 | INIT PASSED
2021-05-18 14:49:43.023825 | SCRIPT IS LOADING
2021-05-18 14:49:43.029831 | INIT PASSED
2021-05-18 14:49:43.553306 | PHONE " +*** " IS LOADED SUCCESSFUL
2021-05-18 14:49:43.554306 | 1 PHONES IS ACTIVE
2021-05-18 14:49:44.684334 | POST#0_CHANNEL -592926473 WITH PIC SUCCESSFUL
2021-05-18 14:49:45.655226 | POST#0_CHANNEL -374561372 WITH PIC SUCCESSFUL
2021-05-18 14:51:21.949038 | POST#1_CHANNEL -592926473 WITH PIC SUCCESSFUL
2021-05-18 14:51:23.245710 | POST#1_CHANNEL -374561372 WITH PIC SUCCESSFUL
2021-05-18 14:55:39.042972 | SCRIPT IS LOADING
2021-05-18 14:55:39.051028 | INIT PASSED
2021-05-18 14:55:47.663027 | SCRIPT IS LOADING
2021-05-18 14:55:47.671035 | INIT PASSED
2021-05-18 14:55:47.674038 | 0 PHONES IS ACTIVE
2021-05-18 14:56:35.727067 | SCRIPT IS LOADING
2021-05-18 14:56:35.735067 | INIT PASSED
2021-05-18 14:57:14.454371 | SCRIPT IS LOADING
2021-05-18 14:57:14.461370 | INIT PASSED
2021-05-18 14:57:28.347062 | SCRIPT IS LOADING
2021-05-18 14:57:28.354069 | INIT PASSED
2021-05-18 14:57:44.580163 | SCRIPT IS LOADING
2021-05-18 14:57:44.587178 | INIT PASSED
2021-05-18 14:58:14.921087 | SCRIPT IS LOADING
2021-05-18 14:58:14.928102 | INIT PASSED
2021-05-18 14:58:15.393226 | PHONE " +79024333496 " IS LOADED SUCCESSFUL
